abacist	ab
acyclicity	ay
adversaria	ad
ambience	am
anamnesis	an
anthology	at
anticipation	ai
austronesian	au
aviation	av
baroque	ba
bitumen	bi
burdock	bu
cacophony	ca
caduceus	cd
caesura	cs
camouflage	cm
capricious	cp
cardinality	cr
cataclysm	ct
cellulose	cl
charisma	ch
chiaroscuro	ci
coaxial	cx
contextual	cn
contingency	cg
cosmopolite	co
decorum	de
dendrology	dn
denominative	dm
digression	dg
dissonance	di
distillate	dl
diuretic	du
embarcadero	em
enigmatic	en
escapade	es
escritoire	er
ethereal	et
eucalyptus	eu
exegesis	ex
exoskeleton	ek
feudalism	fe
frontier	fr
fulminate	fu
galilei	ga
gastronomy	gs
geodesy	gd
gesticulate	ge
gigantism	gi
gnossienne	gn
gossamer	go
guillotine	gu
hallucination	ha
harlequin	hq
hellenism	he
hieroglyph	hi
honeycomb	hc
hyperbole	hy
hypotenuse	hp
imperial	im
inimitable	in
iridescence	ir
jacinta	ja
journalist	jo
kaleidoscope	kd
larceny	la
legerdemain	le
mandible	ma
mercator	mc
merino	me
metamorphose	mt
monotonous	mo
mosquito	mq
nomenclature	no
obligatory	ob
octogenarian	oc
orthodoxy	or
panopticon	pa
parasite	pr
perihelion	ph
phoenicia	pn
plutocrat	pl
polaris	po
polyvinyl	pv
prepositional	pp
probably	pb
profanity	pf
proscenium	ps
punctuation	pu
quantitative	qu
revolution	re
rudiments	ru
satirical	sa
savagery	sg
scintillate	sc
sedentary	sd
serpentine	se
spectacular	sp
stenography	st
superlunary	sl
surveillance	su
symbolism	sy
synesthesia	sn
tarantula	ta
telekinesis	te
turbulence	tu
typonym	tp
ulysses	ul
umbrageous	um
urticose	ur
vacuous	va
vexillology	ve
vicarious	vi
villainy	vy
wisteria	wi
xylophone	xy
yossarian	yo
zephyrine	ze
zeppelin	zp
ziggurat	zi
